city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Malakal,31.66,9.53,97.7,7,100,9.31,SS,1586852383
Olmos,-79.75,-5.98,76.05,63,100,3.91,PE,1586852383
Solwezi,26.39,-12.17,75.49,49,36,4.59,ZM,1586852384
Waiouru,175.67,-39.48,37.36,74,24,8.28,NZ,1586852384
Igarka,86.58,67.47,27.05,96,1,10.49,RU,1586852384
Ambanja,48.45,-13.68,86.0,57,40,4.7,MG,1586852384
Yinchuan,106.27,38.47,72.66,10,81,5.64,CN,1586852366
Iskateley,53.15,67.68,33.13,98,100,11.95,RU,1586852384
Campo Maior,-42.17,-4.83,71.96,94,100,1.63,BR,1586852385
Xichang,102.26,27.9,72.0,39,0,5.23,CN,1586852385
Umm Kaddadah,26.69,13.6,88.12,9,2,20.22,SD,1586852385
Canmore,-115.35,51.08,26.6,79,90,4.7,CA,1586852118
Coahuayana Viejo,-103.68,18.73,71.19,41,8,3.13,MX,1586852385
Broome,-75.83,42.25,39.99,55,90,6.93,US,1586852385
Khatanga,102.5,71.97,12.72,94,5,10.51,RU,1586852386
Tuktoyaktuk,-133.04,69.45,19.06,96,99,9.24,CA,1586852386
Waddān,16.14,29.16,90.84,11,0,11.97,LY,1586852386
Malbork,19.03,54.04,46.0,44,75,21.92,PL,1586852386
East London,27.91,-33.02,62.6,63,100,13.87,ZA,1586852386
Phayakkhaphum Phisai,103.19,15.52,84.2,58,99,4.7,TH,1586852387
Balabac,117.06,7.99,83.97,68,0,11.77,PH,1586852387
Altamira,-52.21,-3.2,70.47,95,100,2.59,BR,1586852387
Araouane,-3.53,18.9,87.53,31,99,8.88,ML,1586852387
Port-Gentil,8.78,-0.72,86.0,79,20,8.05,GA,1586852387
Dingle,122.67,11.0,84.9,67,26,9.13,PH,1586852388
Salalah,54.09,17.02,86.0,66,40,12.75,OM,1586852374
Tromsø,18.96,69.65,33.8,74,100,12.75,NO,1586852388
Ürümqi,87.6,43.8,69.8,28,65,13.42,CN,1586852388
Māngrol,70.12,21.12,93.13,32,5,15.46,IN,1586852389
Touros,-35.46,-5.2,73.4,100,48,4.7,BR,1586852389
Kenai,-151.26,60.55,36.0,93,90,7.99,US,1586852389
Mehamn,27.85,71.04,37.4,74,75,6.93,NO,1586852389
Lüderitz,15.16,-26.65,62.6,51,0,24.16,NA,1586852390
Kambove,26.6,-10.88,74.61,52,53,4.21,CD,1586852390
Agara,43.82,42.04,58.75,33,0,8.52,GE,1586852390
Barguzin,109.62,53.62,47.52,41,100,6.93,RU,1586852390
Hervey Bay,152.85,-25.3,75.99,69,4,10.29,AU,1586852390
Lander,-108.73,42.83,16.0,66,1,7.47,US,1586852391
Howard Springs,131.05,-12.5,89.6,59,100,11.41,AU,1586852391
Neryungri,124.65,56.67,35.73,60,93,6.31,RU,1586852391
Anuchino,133.05,43.96,56.48,45,51,5.46,RU,1586852391
Tādepallegūdem,81.5,16.83,95.0,47,20,4.7,IN,1586852391
Yumen,97.2,40.28,73.15,11,91,3.67,CN,1586852391
Mogadishu,45.34,2.04,89.6,62,40,9.17,SO,1586852371
Qaqortoq,-46.03,60.72,23.0,53,52,8.05,GL,1586852392
Alice Springs,133.88,-23.7,84.2,12,100,8.05,AU,1586852246
Cayenne,-52.33,4.93,78.8,74,90,6.93,GF,1586852392
Soe,124.28,-9.86,73.06,77,97,4.5,ID,1586852392
Macomb,-90.67,40.46,32.0,79,1,5.75,US,1586852231
Port Macquarie,152.92,-31.43,71.6,64,0,6.49,AU,1586852310
Laureles,-97.49,26.11,73.0,83,75,3.36,US,1586852393
Kavaratti,72.64,10.57,85.03,68,36,5.21,IN,1586852393
Narvik,17.43,68.44,37.0,69,100,10.29,NO,1586852393
Birao,22.79,10.28,96.58,8,0,13.06,CF,1586852393
Menongue,17.69,-14.66,76.89,41,5,5.35,AO,1586852393
Pyn U Lwin,96.47,22.03,104.0,26,40,5.82,MM,1586852120
Chiredzi,31.67,-21.05,93.83,24,0,2.93,ZW,1586852394
Giussano,9.21,45.69,69.01,55,0,6.93,IT,1586852394
Ambilobe,49.05,-13.2,90.07,50,30,10.96,MG,1586852394
